,Median Income,Population,State_Code,ZIP,City,State
216,25163,16289,13,65464,Riverdale, Georgia
273,21047,909,13,65856,Roberta, Georgia
624,22888,1464,13,65968,Robins AFB, Georgia
38,20179,961,13,66024,Rochelle, Georgia
386,16154,102,13,66220,Rockingham, Georgia
221,18354,4244,13,66276,Rockmart, Georgia
568,26563,209,13,66444,Rocky Ford, Georgia
239,21962,36185,13,66668,Rome, Georgia
269,26944,271,13,66696,Roopville, Georgia
593,21141,3994,13,67256,Rossville, Georgia
30,41131,94257,13,67284,Roswell, Georgia
71,16639,2997,13,67452,Royston, Georgia
359,21223,1229,13,67676,Russell, Georgia
114,16802,928,13,67760,Rutledge, Georgia
345,20625,438,13,68096,Sale, Georgia
59,16563,407,13,68129,Salem, Georgia
428,16857,5616,13,68208,Sandersville, Georgia
346,43654,105411,13,68516,Sandy Springs, Georgia
544,15833,195,13,68600,Santa Claus, Georgia
347,18125,750,13,68740,Sardis, Georgia
107,26250,338,13,68796,Sasser, Georgia
387,-666666666,376,13,68805,Satilla, Georgia
401,32054,178,13,68880,Sautee-Nacoochee, Georgia
145,22190,145342,13,69000,Savannah, Georgia
129,22069,477,13,69336,Scotland, Georgia
266,29804,10698,13,69392,Scottdale, Georgia
231,21960,1065,13,69448,Screven, Georgia
208,33193,4160,13,69672,Senoia, Georgia
388,18438,116,13,69728,Seville, Georgia
186,24188,437,13,69784,Shady Dale, Georgia
535,26250,1931,13,69868,Shannon, Georgia
182,18333,140,13,69896,Sharon, Georgia
205,28083,402,13,69980,Sharpsburg, Georgia
102,19583,1147,13,70120,Shellman, Georgia
421,25536,422,13,70428,Shiloh, Georgia
288,18250,399,13,70932,Siloam, Georgia
21,47215,8783,13,71184,Skidaway Island, Georgia
543,35000,328,13,71282,Sky Valley, Georgia
190,15956,683,13,71464,Smithville, Georgia
282,42023,55976,13,71492,Smyrna, Georgia
121,29158,19631,13,71604,Snellville, Georgia
465,22220,4419,13,71660,Social Circle, Georgia
606,20544,3073,13,71772,Soperton, Georgia
396,31915,94912,13,72122,South Fulton, Georgia
22,15633,2261,13,72556,Sparks, Georgia
14,15282,1854,13,72584,Sparta, Georgia
133,27258,3526,13,72780,Springfield, Georgia
469,30492,17921,13,67984,St. Marys, Georgia
60,44052,14302,13,68040,St. Simons, Georgia
547,20750,393,13,73004,Stapleton, Georgia
1,11898,31001,13,73256,Statesboro, Georgia
159,28576,2633,13,73312,Statham, Georgia
348,17404,535,13,73620,Stillmore, Georgia
179,30637,28648,13,73704,Stockbridge, Georgia
66,22848,6251,13,73816,Stone Mountain, Georgia
394,27115,53772,13,73784,Stonecrest, Georgia
118,37229,22314,13,74180,Sugar Hill, Georgia
349,19531,180,13,74348,Summer, Georgia
458,17605,4339,13,74376,Summerville, Georgia
594,20417,491,13,74432,Sumner, Georgia
611,25455,160,13,74572,Sunny Side, Georgia
575,35929,1121,13,74628,Sunnyside, Georgia
574,18327,747,13,74768,Sunset Village, Georgia
292,13424,293,13,74852,Surrency, Georgia
135,40098,19215,13,74936,Suwanee, Georgia
289,16612,7347,13,74964,Swainsboro, Georgia
607,18897,868,13,75104,Sycamore, Georgia
534,20340,2805,13,75160,Sylvania, Georgia
442,21235,5926,13,75188,Sylvester, Georgia
389,53565,1406,13,75239,Talahi Island, Georgia
473,21368,875,13,75244,Talbotton, Georgia
33,30625,139,13,75272,Talking Rock, Georgia
31,27225,3133,13,75300,Tallapoosa, Georgia
449,41000,100,13,75328,Tallulah Falls, Georgia
556,31667,295,13,75412,Talmo, Georgia
351,27250,44,13,75496,Tarry, Georgia
390,-666666666,0,13,75580,Tate, Georgia
615,24107,238,13,75664,Taylorsville, Georgia
131,30469,4366,13,75832,Temple, Georgia
46,20684,1722,13,75888,Tennille, Georgia
391,-666666666,203,13,76112,The Rock, Georgia
571,19789,8802,13,76168,Thomaston, Georgia
409,20046,18546,13,76224,Thomasville, Georgia
112,17901,6603,13,76280,Thomson, Georgia
512,33134,2643,13,76364,Thunderbolt, Georgia
410,19961,16603,13,76476,Tifton, Georgia
106,16979,512,13,76504,Tiger, Georgia
475,20395,457,13,76532,Tignall, Georgia
408,21156,8274,13,76756,Toccoa, Georgia
352,17366,508,13,76952,Toomsboro, Georgia
515,23235,2335,13,77372,Trenton, Georgia
623,24132,2322,13,77540,Trion, Georgia
395,36817,35692,13,77652,Tucker, Georgia
152,23145,1317,13,77736,Tunnel Hill, Georgia
39,-666666666,571,13,77764,Turin, Georgia
503,16610,1860,13,77988,Twin, Georgia
148,17059,966,13,78100,Ty Ty, Georgia
513,41889,3093,13,78036,Tybee Island, Georgia
497,41929,7221,13,78044,Tyrone, Georgia
516,21088,3615,13,78156,Unadilla, Georgia
420,24746,20960,13,78324,Union, Georgia
252,16848,1837,13,78380,Union Point, Georgia
55,12168,2183,13,78464,Unionville, Georgia
555,21042,527,13,78744,Uvalda, Georgia
243,20474,56074,13,78800,Valdosta, Georgia
51,27643,2156,13,78996,Varnell, Georgia
164,42500,106,13,79164,Vernonburg, Georgia
230,19279,10473,13,79388,Vidalia, Georgia
294,21429,186,13,79416,Vidette, Georgia
275,16386,3737,13,79444,Vienna, Georgia
270,29857,15124,13,79528,Villa Rica, Georgia
464,46201,13086,13,79612,Vinings, Georgia
610,20938,440,13,79808,Waco, Georgia
478,14434,1841,13,79864,Wadley, Georgia
28,5930,727,13,79948,Waleska, Georgia
353,28177,1422,13,80228,Walnut Grove, Georgia
526,21076,4095,13,80256,Walthourville, Georgia
557,16146,510,13,80480,Warm Springs, Georgia
562,30017,74762,13,80508,Warner Robins, Georgia
